,date,day,hTemp,lTemp,pDegree,pIndex,wea,wind
0,2017-10-02,星期一,18℃,9℃,优,40,小雨~阴,东北风1-2级
1,2017-10-03,星期二,20℃,9℃,优,33,多云~晴,西南风1-2级
2,2017-10-04,星期三,22℃,10℃,良,53,晴,西南风3-4级
3,2017-10-05,星期四,21℃,11℃,良,75,多云,南风1-2级
4,2017-10-06,星期五,22℃,13℃,良,92,多云~阴,南风1-2级
5,2017-10-07,星期六,20℃,13℃,轻度污染,143,小雨~阴,东北风1-2级
6,2017-10-08,星期日,18℃,13℃,中度污染,172,小雨,东北风1-2级
7,2017-10-09,星期一,15℃,9℃,优,49,中雨~小到中雨,北风3-4级
8,2017-10-10,星期二,11℃,6℃,优,15,小雨~阴,北风1-2级
9,2017-10-11,星期三,16℃,6℃,优,22,多云~阴,西风1-2级
10,2017-10-12,星期四,18℃,9℃,优,35,小雨~晴,西南风1-2级
11,2017-10-13,星期五,18℃,9℃,良,55,晴~多云,西南风1-2级
12,2017-10-14,星期六,13℃,9℃,优,36,小雨,东北风1-2级
13,2017-10-15,星期日,16℃,8℃,良,63,阴~多云,北风1-2级
14,2017-10-16,星期一,18℃,7℃,良,57,晴~多云,东北风1-2级
15,2017-10-17,星期二,16℃,11℃,良,93,阴~小雨,南风1-2级
16,2017-10-18,星期三,15℃,9℃,良,91,小雨~多云,南风1-2级
17,2017-10-19,星期四,18℃,9℃,良,75,晴~多云,南风1-2级
18,2017-10-20,星期五,20℃,11℃,轻度污染,123,晴~多云,东北风1-2级
19,2017-10-21,星期六,18℃,10℃,轻度污染,107,阴~小雨,东风1-2级
20,2017-10-22,星期日,13℃,7℃,良,54,阴~多云,西北风1-2级
21,2017-10-23,星期一,16℃,5℃,良,51,多云~晴,南风1-2级
22,2017-10-24,星期二,18℃,8℃,良,88,晴~多云,西南风1-2级
23,2017-10-25,星期三,15℃,9℃,轻度污染,140,阴,南风1-2级
24,2017-10-26,星期四,17℃,9℃,中度污染,193,阴~多云,北风1-2级
25,2017-10-27,星期五,18℃,9℃,重度污染,211,多云~雾,南风1-2级
26,2017-10-28,星期六,16℃,5℃,良,85,多云~晴,北风3-4级
27,2017-10-29,星期日,12℃,1℃,优,24,晴,北风3-4级
28,2017-10-30,星期一,14℃,2℃,优,39,晴,西北风1-2级
29,2017-10-31,星期二,16℃,4℃,良,80,晴,西南风1-2级
